,CategoryOfFundingActivity.Element:Text
"CD, DPR, ED, ELT, ENV, FN, HL, ISS",1
"EN, ENV, NR, O, ST",1
"AG, BC, NR",1
"ENV, IIJ, NR, ST",1
"AR, BC, CD, ED, EN, ENV, FN, HL, HU, IS, LJL, NR, ST",1
"ELT, EN, ST",1
"BC, CD, ED, ELT, EN, ENV, FN, HL, HU, LJL, O",1
"AG, AR, BC, CD, ED, ELT, ENV, FN, HL, HO, HU, O",1
"AR, CD, ED, HU, ST",1
"AG, ED, ELT, EN, ENV, FN, HL, NR, ST",1
"ELT, HL",1
"AG, CP, DPR, ED, ENV, FN, HL, ST",1
"AR, CD, ED, ELT, ENV, FN, HL, HO, LJL, NR",1
"ED, IS, NR, ST",1
"AR, BC, CD, ED, ENV, HL, HU, LJL, O",1
"AR, CD, ED, ELT, ENV, HU, ST",1
"BC, ENV, IS, ST",1
"AG, BC, CD, ED, FN, NR",1
"CP, DPR, ED, ENV, HL, HO, O, T",1
"CD, ED, ENV, NR, O, RD",1
"ED, ENV, FN, HL, IS, NR, ST",1
"CD, ED, ENV, IS, NR, ST",1
"CD, ENV, LJL, NR, O",1
"AG, BC, ST",1
"ED, FN",1
"ED, ELT, IS, ST, T",1
"CD, DPR, ENV, NR, RD, ST",1
"CD, ED, IS, NR, RD, ST",1
"ENV, NR, O, RD",1
"CD, ED, ELT, FN, HL, HO, ISS, LJL, RD",1
"ED, ELT, HL, ISS, LJL, O",1
"CP, DPR, ED, ELT",1
"ED, IS, NR, RD, ST",1
"AG, BC, CP, FN, HL, IS, RD, ST",1
"BC, CD, ELT, RD, ST",1
"CD, DPR, ENV, NR",1
"CD, ISS",1
"AG, BC, CD, ED, ELT, O, RD",1
"CD, ED, EN, ENV, NR, RD, ST",1
"AG, BC, CD, ED, FN, ST",1
"ED, ELT, ST, T",1
"BC, ELT, ENV",1
"AG, BC, CD, O",1
"BC, CP, HL",1
"LJL, NR, RD",1
"CD, DPR, ED, ENV, FN, HL, HO, O, T",1
"DPR, ED, ENV, NR",1
"AG, BC, ENV, NR",1
"AG, BC, CP, ED, ELT, ENV, FN, HL, IS, ST",1
"BC, CD, IS, RD, ST, T",1
"CD, ED, ELT, ISS, LJL, RD",1
"BC, CD, ELT, LJL, O",1
"HU, O, ST",1
"DPR, ED, ELT, ISS, O",1
"AG, CD, EN, ENV, FN, HL, NR",1
"AG, AR, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, LJL, NR, O, RD",1
"BC, CD, CP, ED, ENV, FN, HL, IS, NR, RD, ST",1
"CD, ELT, LJL, O, RD",1
"AG, ED, ELT",1
"AG, BC, CP, ED, ELT, ENV, FN, HL, IS, NR",1
"AR, BC, CD, CP, ED, EN, ENV, HU, LJL, NR, RD, ST",1
"AG, CP, ED, ELT, ENV, FN, HL, NR",1
"AG, CP, ED, ELT, FN, HL",1
"BC, ED, ELT, ISS, LJL, O",1
"CP, ENV, ST",1
"ED, ENV, HL, HU, NR",1
"CD, ED, ENV, IS, NR, RD, ST",1
"AG, FN, RD",1
"ED, NR, O",1
"CD, ED, IS",1
"HU, IS, NR",1
"CD, CP, ED, HL",1
"AG, DPR, ED, ENV, FN, HL, ST",1
"AG, CD, ED, ELT, ENV, FN, HL, ISS, LJL, NR, RD, ST",1
"BC, CD, CP, ED, ENV, FN, HL, NR, ST",1
"CD, ENV, IS, ST",1
"AR, BC, CD, ED, ENV",1
